Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
19-JUN-2026,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,19589014,8625600,4621950.692968,13987612
19-JUN-2026,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,218611634,84835100,47365768.211859,160315284
19-JUN-2026,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,143933168,81184275,44538895.282349,92197614
19-JUN-2026,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,89517840,33662100,19167782.437495,65874165
19-JUN-2026,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,241870587,76638450,31957138.60042975,197819919
19-JUN-2026,INE0V6F01027,HYUNDAI MOTOR INDIA LTD,HYUNDAI,21329205,9866450,7569120.796288,12693623
19-JUN-2026,INE090A01021,ICICI BANK LTD.,ICICIBANK,668616020,213773000,147582919.084185,487602299
19-JUN-2026,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,27086521,6984900,4768095.36119925,20964099
19-JUN-2026,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,58892926,31247425,18754706.72903075,37193572
19-JUN-2026,INE669E01016,VODAFONE IDEA LIMITED,IDEA,12096038468,9023218425,6148644953.10996,5342591591
19-JUN-2026,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,1101871266,641449725,442120665.17936125,604657037
19-JUN-2026,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,133395043,143506950,82994158.721609,43731132
19-JUN-2026,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,123332004,39237000,26203920.55785,90961483
19-JUN-2026,INE562A01011,INDIAN BANK,INDIANB,52862157,29790000,14880189.20483,35338859
19-JUN-2026,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,33878797,21970800,8830891.9043295,23353965
19-JUN-2026,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,93808799,55141100,40940498.062458,48177860
19-JUN-2026,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,193625858,166042400,115017072.507468,68927492
